episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-59.69999999999978,-476.55999999999244,-268.12999999999613,976.0,2,2,4000,False,2,1,d465dad9a8184b15806df22a6467a3dd,2020-12-17_00-54-42,1608137682,6.591481685638428,6.591481685638428,14452,Rishabhs-MBP,192.168.1.138,6.591481685638428,0,1,"[-59.69999999999978, -476.55999999999244]","[230, 1722]",0.102812799437531,0.11061847597166993,1.1970788940437314,0.09481612591073849,3068.742,1303.466,42.153,94892.145,3376.001,1184.834,2.958,4000,4000,66.55,75.54,0.20000000298023224,4.999999873689376e-05,79.56803,-0.01921864,79.58301,-0.0008880592,0.02118636,2.0586078,0.0
-59.69999999999978,-476.55999999999244,-268.12999999999613,976.0,0,2,8000,False,2,2,d465dad9a8184b15806df22a6467a3dd,2020-12-17_00-54-49,1608137689,6.796149015426636,13.387630701065063,14452,Rishabhs-MBP,192.168.1.138,13.387630701065063,0,2,"[-59.69999999999978, -476.55999999999244]","[230, 1722]",0.102812799437531,0.11061847597166993,1.1970788940437314,0.09481612591073849,3056.03,1308.888,21.982,181966.453,3558.116,1124.19,3.121,8000,8000,74.91,75.34,0.30000001192092896,4.999999873689376e-05,41.322,-0.015040866,41.332397,0.00010072993,0.015457206,2.0631976,0.0
-59.69999999999978,-476.55999999999244,-268.12999999999613,976.0,0,2,12000,False,2,3,d465dad9a8184b15806df22a6467a3dd,2020-12-17_00-54-58,1608137698,8.605963945388794,21.993594646453857,14452,Rishabhs-MBP,192.168.1.138,21.993594646453857,0,3,"[-59.69999999999978, -476.55999999999244]","[230, 1722]",0.102812799437531,0.11061847597166993,1.1970788940437314,0.09481612591073849,3545.176,1128.294,15.299,261459.032,3724.106,1074.083,4.721,12000,12000,75.20833333333333,76.71666666666668,0.30000001192092896,4.999999873689376e-05,12.108324,-0.020826472,12.124243,-0.00045323372,0.016351119,2.0418103,0.0
-59.69999999999978,-476.55999999999244,-268.12999999999613,976.0,0,2,16000,False,2,4,d465dad9a8184b15806df22a6467a3dd,2020-12-17_00-55-05,1608137705,7.731119155883789,29.724713802337646,14452,Rishabhs-MBP,192.168.1.138,29.724713802337646,0,4,"[-59.69999999999978, -476.55999999999244]","[230, 1722]",0.102812799437531,0.11061847597166993,1.1970788940437314,0.09481612591073849,3698.046,1081.652,11.935,335140.476,3683.642,1085.882,4.369,16000,16000,74.67272727272727,76.77272727272728,0.30000001192092896,4.999999873689376e-05,9.842109,-0.019411672,9.857595,-0.0002626123,0.013087935,2.0199401,0.0
-59.69999999999978,-476.55999999999244,-268.12999999999613,976.0,0,2,20000,False,2,5,d465dad9a8184b15806df22a6467a3dd,2020-12-17_00-55-13,1608137713,7.188724994659424,36.91343879699707,14452,Rishabhs-MBP,192.168.1.138,36.91343879699707,0,5,"[-59.69999999999978, -476.55999999999244]","[230, 1722]",0.102812799437531,0.11061847597166993,1.1970788940437314,0.09481612591073849,3747.487,1067.382,10.027,398914.241,3589.932,1114.227,4.883,20000,20000,72.86999999999999,76.55999999999999,0.30000001192092896,4.999999873689376e-05,9.911568,-0.026272126,9.932823,0.000102996826,0.016720986,1.9744985,0.0
-59.69999999999978,-476.55999999999244,-268.12999999999613,976.0,0,2,24000,False,2,6,d465dad9a8184b15806df22a6467a3dd,2020-12-17_00-55-20,1608137720,7.321855068206787,44.23529386520386,14452,Rishabhs-MBP,192.168.1.138,44.23529386520386,0,6,"[-59.69999999999978, -476.55999999999244]","[230, 1722]",0.102812799437531,0.11061847597166993,1.1970788940437314,0.09481612591073849,3709.336,1078.36,8.723,458558.844,3623.124,1104.02,4.582,24000,24000,73.72727272727273,76.4909090909091,0.30000001192092896,4.999999873689376e-05,8.434751,-0.019203685,8.450417,0.014941225,0.011793738,1.9212352,0.0
-59.69999999999978,-476.55999999999244,-268.12999999999613,976.0,0,2,28000,False,2,7,d465dad9a8184b15806df22a6467a3dd,2020-12-17_00-55-28,1608137728,7.645676851272583,51.88097071647644,14452,Rishabhs-MBP,192.168.1.138,51.88097071647644,0,7,"[-59.69999999999978, -476.55999999999244]","[230, 1722]",0.102812799437531,0.11061847597166993,1.1970788940437314,0.09481612591073849,3690.678,1083.812,7.802,512699.615,3684.494,1085.631,4.375,28000,28000,73.05,76.15,0.30000001192092896,4.999999873689376e-05,6.0416913,-0.017854413,6.0554166,0.021881163,0.013765835,1.8854849,0.0
-59.69999999999978,-476.55999999999244,-268.12999999999613,976.0,0,2,32000,False,2,8,d465dad9a8184b15806df22a6467a3dd,2020-12-17_00-55-35,1608137735,7.68375563621521,59.56472635269165,14452,Rishabhs-MBP,192.168.1.138,59.56472635269165,0,8,"[-59.69999999999978, -476.55999999999244]","[230, 1722]",0.102812799437531,0.11061847597166993,1.1970788940437314,0.09481612591073849,3674.166,1088.683,7.092,564027.719,3737.974,1070.098,4.148,32000,32000,73.2090909090909,77.24545454545455,0.30000001192092896,4.999999873689376e-05,3.6009533,-0.01721216,3.6147027,0.022351155,0.011540068,1.880108,0.0
-59.69999999999978,-476.55999999999244,-268.12999999999613,976.0,0,2,36000,False,2,9,d465dad9a8184b15806df22a6467a3dd,2020-12-17_00-55-42,1608137742,6.71675705909729,66.28148341178894,14452,Rishabhs-MBP,192.168.1.138,66.28148341178894,0,9,"[-59.69999999999978, -476.55999999999244]","[230, 1722]",0.102812799437531,0.11061847597166993,1.1970788940437314,0.09481612591073849,3646.302,1097.002,6.507,614765.217,3687.209,1084.831,4.01,36000,36000,65.32000000000001,77.3,0.30000001192092896,4.999999873689376e-05,2.2733576,-0.013847347,2.2832046,0.00635517,0.013334589,1.8034838,0.0
-59.69999999999978,-476.55999999999244,-268.12999999999613,976.0,0,2,40000,False,2,10,d465dad9a8184b15806df22a6467a3dd,2020-12-17_00-55-49,1608137749,6.836498022079468,73.11798143386841,14452,Rishabhs-MBP,192.168.1.138,73.11798143386841,0,10,"[-59.69999999999978, -476.55999999999244]","[230, 1722]",0.102812799437531,0.11061847597166993,1.1970788940437314,0.09481612591073849,3635.847,1100.156,6.037,662581.099,3646.717,1096.877,3.927,40000,40000,71.78999999999999,75.97,0.30000001192092896,4.999999873689376e-05,1.5205667,-0.020384984,1.536364,0.0049366914,0.015292922,1.7677099,0.0
-59.69999999999978,-476.55999999999244,-268.12999999999613,976.0,0,2,44000,False,2,11,d465dad9a8184b15806df22a6467a3dd,2020-12-17_00-55-57,1608137757,8.253204107284546,81.37118554115295,14452,Rishabhs-MBP,192.168.1.138,81.37118554115295,0,11,"[-59.69999999999978, -476.55999999999244]","[230, 1722]",0.102812799437531,0.11061847597166993,1.1970788940437314,0.09481612591073849,3656.22,1094.026,2.101,1904056.836,3805.667,1051.064,4.078,44000,44000,71.59166666666665,76.04166666666666,0.30000001192092896,4.999999873689376e-05,1.3859881,-0.013405596,1.3963628,0.008991509,0.010103863,1.7109072,0.0
-59.69999999999978,-476.55999999999244,-268.12999999999613,976.0,0,2,48000,False,2,12,d465dad9a8184b15806df22a6467a3dd,2020-12-17_00-56-04,1608137764,7.0258469581604,88.39703249931335,14452,Rishabhs-MBP,192.168.1.138,88.39703249931335,0,12,"[-59.69999999999978, -476.55999999999244]","[230, 1722]",0.102812799437531,0.11061847597166993,1.1970788940437314,0.09481612591073849,3703.014,1080.201,2.242,1783823.417,3781.65,1057.739,4.132,48000,48000,73.01,76.25,0.30000001192092896,4.999999873689376e-05,0.4220504,-0.010862885,0.4300394,-0.0029423928,0.009579777,1.6618551,0.0
